Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Cussat-Blanc, Sylvain; Luga, Hervé; Duthen, Yves; ",From Single Cell to Simple Creature Morphology and Metabolism.,ALIFE,,,134-141,2008,
"Cooper, Martin; Cussat-Blanc, Sylvain; de Roquemaurel, Marie; Régnier, Pierre; ",Soft arc consistency applied to optimal planning,"Principles and Practice of Constraint Programming-CP 2006: 12th International Conference, CP 2006, Nantes, France, September 25-29, 2006. Proceedings 12",,,680-684,2006,Springer Berlin Heidelberg
"Cussat-Blanc, Sylvain; Luga, Hervé; Duthen, Yves; ",Cell2organ: Self-repairing artificial creatures thanks to a healthy metabolism,2009 IEEE Congress on Evolutionary Computation,,,2708-2715,2009,IEEE
"Cussat-Blanc, Sylvain; Bredeche, Nicolas; Luga, Hervé; Duthen, Yves; Schoenauer, Marc; ",Artificial gene regulatory networks and spatial computation: A case study,ECAL,,,,2011,
"Cussat-Blanc, Sylvain; Luga, Hervé; Duthen, Yves; ",Using a single cell to create an entire organ,17th International Conference on Artificial Reality and Telexistence (ICAT 2007),,,300-301,2007,IEEE
"Cussat-Blanc, Sylvain; Pascalie, Jonathan; Luga, Hervé; Duthen, Yves; ",Morphogen Positioning by the Means of a Hydrodynamic Engine.,ALIFE,,,118-125,2010,
"Cussat-Blanc, Sylvain; Viale, Fabien; Luga, Hervé; Duthen, Yves; Caromel, Denis; ",Genetic algorithms and grid computing for artificial embryogeny,Proceedings of the 10th annual conference on Genetic and evolutionary computation,,,281-282,2008,
"Cooper, Martin; Cussat-Blanc, Sylvain; de Roquemaurel, Marie; Régnier, P; ",Résolution optimale d’un graphe de planification numérique à l’aide de csp pondérés,"Actes des Journées Francophones sur la Planification, la Décision et l’Apprentissage pour la Conduite de Systèmes",,,15-22,2006,
"Cussat-Blanc, Sylvain; Luga, Hervé; Duthen, Yves; ",Making a self-feeding structure by assembly of digital organs,Australian Conference on Artificial Life,,,116-125,2009,"Springer Berlin Heidelberg Berlin, Heidelberg"
"Cussat-Blanc, Sylvain; Luga, Hervé; Duthen, Yves; ",A developmental model to simulate natural evolution,International Conference on Computer Graphics and Artificial Intelligence 3IA,,,,2007,
"Cussat-Blanc, Sylvain; Pascalie, Jonathan; Luga, Hervé; Duthen, Yves; ",Three simulators for growing artificial creatures,IEEE Congress on Evolutionary Computation,,,1-8,2010,IEEE
"Cussat-Blanc, Sylvain; Pascalie, Jonathan; Mazac, Sébastien; Luga, Hervé; Duthen, Yves; ",A synthesis of the cell2organ developmental model,Morphogenetic Engineering: Toward Programmable Complex Systems,,,353-381,2012,Springer Berlin Heidelberg
"Cussat-Blanc, Sylvain; Luga, Hervé; Duthen, Yves; ",Artificial Embryogeny and Grid Computing,"Genetic and Evolutionary Computation (GECCO 2008), Atlanta",,,,2008,
"Cussat-Blanc, Sylvain; Pollack, Jordan; ",A cell-based developmental model to generate robot morphologies,Proceedings of the 14th annual conference on Genetic and evolutionary computation,,,537-544,2012,
"Cussat-Blanc, Sylvain; Luga, Hervé; Duthen, Yves; ",Digital organ cooperation: Toward the assembly of a self-feeding organism,"Advances in Artificial Life. Darwin Meets von Neumann: 10th European Conference, ECAL 2009, Budapest, Hungary, September 13-16, 2009, Revised Selected Papers, Part I 10",,,53-58,2011,Springer Berlin Heidelberg
"Djezzar, Nedjma; Djedi, Noureddine; Cussat-Blanc, Sylvain; Luga, Hervé; Duthen, Yves; ",L-systems and artificial chemistry to develop digital organisms,2011 IEEE Symposium on Artificial Life (ALIFE),,,225-232,2011,IEEE
"Wilson, Dennis; Awa, Emmanuel; Cussat-Blanc, Sylvain; Veeramachaneni, Kalyan; O'Reilly, Una-May; ",On learning to generate wind farm layouts,Proceedings of the 15th annual conference on Genetic and evolutionary computation,,,767-774,2013,
"Cussat-Blanc, Sylvain; Bredeche, Nicolas; Luga, Hervé; Duthen, Yves; Sebag, Michele; ",Gene Regulatory Network and Spatial Computation: A Case Study,,,,,2011,
"Cussat-Blanc, Sylvain; Luga, Herve; Duthen, Yves; ",From single cell to simple creature morphology and,Artificial Life,,,134-141,,MIT Press
"Tournois, Sylvain; Cussat-Blanc, Sylvain; Pascalie, Jonathan; Duthen, Yves; ",A generic renderer engine for evo-devo models,,,,,,
"DJEZZAR, N; DJEDI, N; CUSSAT-BLANC, S; DUTHEN, Y; ",UN MODELE BIO-INSPIRE POUR LA SYNTHESE DE CREATURES ARTIFICIELLES,,,,,,
"Cussat-Blanc, Sylvain; Pollack, Jordan; ",Using pictures to visualize the complexity of gene regulatory networks,Artificial Life Conference Proceedings,,,491-498,2012,"MIT Press One Rogers Street, Cambridge, MA 02142-1209, USA journals-info …"
"Cussat-Blanc, Sylvain; Sanchez, Stéphane; Duthen, Yves; ",Controlling cooperative and conflicting continuous actions with a gene regulatory network,2012 IEEE Conference on Computational Intelligence and Games (CIG),,,187-194,2012,IEEE
